categories,id_event,id_location,indirizzo,latitude,longitude,nome,num_events,data,ora_inizio,ora_fine
"Architettura,Materiali speciali,Tecnologia",624,48,Via Procaccini 4,45.485087799999995,9.176209,Fabbrica Del Vapore,6,2016-04-17,10:00:00,20:00:00
"Arte,Product Design",1047,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-12,00:00:00,23:30:00
"Arte,Product Design",1047,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-13,00:00:00,23:30:00
"Arte,Product Design",1047,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-14,00:00:00,23:30:00
"Arte,Product Design",1047,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-15,00:00:00,23:30:00
"Arte,Product Design",1047,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-16,00:00:00,23:30:00
"Arte,Product Design",1047,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-17,00:00:00,23:30:00
,1189,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-12,00:00:00,23:30:00
Product Design,1107,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-12,14:00:00,19:00:00
Product Design,1107,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-13,14:00:00,19:00:00
Product Design,1107,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-14,14:00:00,19:00:00
Product Design,1107,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-15,14:00:00,19:00:00
Product Design,1107,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-16,14:00:00,19:00:00
Product Design,1107,56,"Via Turati, 34",45.4766103,9.195340400000001,Museo della permanente,3,2016-04-17,14:00:00,19:00:00
"Moda,Installazioni",1596,57,"Corso Como, 9",45.4817842,9.1871849,Corso como 9,1,2016-04-13,18:30:00,21:30:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-12,10:00:00,20:00:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-13,10:00:00,20:00:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-13,18:30:00,21:30:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-14,10:00:00,20:00:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-15,10:00:00,20:00:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-16,10:00:00,20:00:00
"Arte,Grafica,Installazioni,Party",1590,60,Corso Magenta 63,45.465701,9.1716484,Institut français Milano,1,2016-04-17,10:00:00,20:00:00
"Arredo,Esterni,Moda,Illuminazione,Living,Product Design",67,61,"Corso San Gottardo, 21/9",45.449852899999996,9.1798717,Zeus Design Store,1,2016-04-12,10:00:00,22:00:00
"Arredo,Esterni,Moda,Illuminazione,Living,Product Design",67,61,"Corso San Gottardo, 21/9",45.449852899999996,9.1798717,Zeus Design Store,1,2016-04-13,10:00:00,22:00:00
"Arredo,Esterni,Moda,Illuminazione,Living,Product Design",67,61,"Corso San Gottardo, 21/9",45.449852899999996,9.1798717,Zeus Design Store,1,2016-04-14,10:00:00,22:00:00
"Arredo,Esterni,Moda,Illuminazione,Living,Product Design",67,61,"Corso San Gottardo, 21/9",45.449852899999996,9.1798717,Zeus Design Store,1,2016-04-15,10:00:00,22:00:00
"Arredo,Esterni,Moda,Illuminazione,Living,Product Design",67,61,"Corso San Gottardo, 21/9",45.449852899999996,9.1798717,Zeus Design Store,1,2016-04-16,10:00:00,22:00:00
"Arredo,Esterni,Moda,Illuminazione,Living,Product Design",67,61,"Corso San Gottardo, 21/9",45.449852899999996,9.1798717,Zeus Design Store,1,2016-04-17,10:00:00,22:00:00
,71,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-12,10:00:00,19:00:00
,71,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-13,10:00:00,19:00:00
,71,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-14,10:00:00,19:00:00
,71,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-15,10:00:00,19:00:00
,71,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-16,10:00:00,19:00:00
,71,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-17,10:00:00,19:00:00
"Materiali speciali,Tecnologia",1247,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-12,15:00:00,19:00:00
"Materiali speciali,Tecnologia",1247,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-13,15:00:00,19:00:00
"Materiali speciali,Tecnologia",1247,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-14,15:00:00,19:00:00
"Materiali speciali,Tecnologia",1247,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-15,15:00:00,19:00:00
"Materiali speciali,Tecnologia",1247,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-16,15:00:00,19:00:00
"Materiali speciali,Tecnologia",1247,78,"Via Cerva, 24",45.464932,9.199246,Istituto Marangoni Design School,2,2016-04-17,15:00:00,19:00:00
