categories,id_event,latitude,longitude,participations
"('Party',)",1076,45.443333,9.185669,22
"('Arredo', 'Arte', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design')",855,45.453694,9.162932,3
"('Moda', 'Product Design')",897,45.473158,9.209432,7
"('Product Design',)",638,45.473158,9.209432,3
"('Architettura', 'Arredo', 'Product Design')",846,45.473158,9.209432,20
"('Altro', 'Product Design', 'Tecnologia')",74,45.483171,9.242659,10
"('Arredo', 'Arte', 'Installazioni', 'Product Design')",1175,45.475417,9.20789,9
"('Architettura', 'Arredo', 'Living')",43,45.472395,9.185138,20
"('Arredo', 'Grafica', 'Living', 'Product Design')",767,45.472395,9.185138,39
"('Architettura', 'Arredo')",813,45.472395,9.185138,9
"('Arredo', 'Moda')",1619,45.463174,9.211163,2
"('Altro', 'Party')",1147,45.494598,9.182942,11
"('Architettura', 'Arredo', 'Conferenze, workshop', 'Esterni', 'Moda', 'Gioielli', 'Illuminazione', 'Living', 'Product Design')",1153,45.483804,9.243899,37
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Living')",630,45.462987,9.182752,4
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Living')",1199,45.462987,9.182752,3
"('Arredo', 'Arte', 'Moda', 'Living')",1219,45.475865,9.20332,4
"('Architettura', 'Arredo', 'Arte', 'Grafica', 'Product Design')",948,45.475865,9.20332,4
"('Arredo', 'Bagno', 'Cucina', 'Illuminazione', 'Installazioni', 'Living', 'Party')",1509,45.467622,9.21405,1
"('Arredo', 'Food & beverage', 'Installazioni', 'Product Design')",648,45.479663,9.184383,29
"('Arredo', 'Food & beverage', 'Living', 'Product Design')",1062,45.479663,9.184383,39
"('Product Design',)",1183,45.479663,9.184383,5
"('Bagno', 'Party', 'Product Design')",1093,45.472362,9.187842,6
"('Architettura', 'Arredo', 'Bagno', 'Conferenze, workshop', 'Party')",54,45.472362,9.187842,17
"('Architettura', 'Arredo', 'Bagno', 'Living')",783,45.472362,9.187842,10
"('Arredo', 'Product Design')",1039,45.475232,9.185867,1
"('Arte', 'Conferenze, workshop', 'Esterni', 'Installazioni')",681,45.484065,9.18846,4
"('Altro', 'Architettura', 'Esterni', 'Installazioni')",1307,45.466128,9.189982,7
"('Altro', 'Arredo', 'Installazioni')",75,45.490225,9.169327,18
"('Arredo', 'Moda')",1449,45.451209,9.160854,8
"('Arredo', 'Living', 'Product Design')",843,45.451209,9.160854,9
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Bagno', 'Cucina', 'Esterni', 'Moda', 'Food & beverage', 'Gioielli', 'Grafica', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Party', 'Product Design', 'Tecnologia')",1535,45.451209,9.160854,9
"('Altro', 'Installazioni', 'Materiali speciali', 'Tecnologia')",1340,45.451209,9.160854,5
"('Arredo', 'Illuminazione', 'Living', 'Materiali speciali', 'Product Design')",1250,45.451209,9.160854,8
"('Arredo', 'Arte', 'Installazioni', 'Living', 'Product Design')",573,45.451209,9.160854,7
"('Arredo', 'Arte', 'Moda', 'Gioielli', 'Illuminazione', 'Product Design')",864,45.451209,9.160854,10
"('Product Design',)",880,45.451209,9.160854,67
"('Arredo', 'Arte')",863,45.451209,9.160854,12
"('Arredo', 'Moda', 'Food & beverage', 'Giochi, giocattoli', 'Grafica', 'Installazioni')",1315,45.4826862,9.248967,32
(),1119,45.452497,9.181029,2
"('Architettura', 'Arredo', 'Cucina', 'Esterni', 'Installazioni', 'Living', 'Product Design')",601,45.472815,9.195072,11
"('Architettura', 'Arredo', 'Living', 'Product Design')",564,45.465952,9.200494,20
"('Arredo',)",1554,45.457715,9.184372,15
"('Illuminazione',)",550,45.465745,9.178904,14
"('Architettura', 'Installazioni')",552,45.465745,9.178904,34
"('Arredo', 'Arte', 'Materiali speciali')",1155,45.465745,9.178904,5
"('Arredo', 'Living')",107,45.465745,9.178904,13
"('Architettura', 'Installazioni', 'Product Design')",1408,45.465745,9.178904,18
"('Architettura', 'Arredo', 'Arte', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design')",650,45.465745,9.178904,8
"('Architettura', 'Arredo', 'Installazioni', 'Living', 'Product Design')",954,45.463876,9.19761,2
"('Product Design',)",1394,45.469334,9.19972,2
"('Arredo', 'Arte', 'Installazioni', 'Materiali speciali')",1439,45.448722,9.1610106,7
"('Altro', 'Arte', 'Grafica', 'Materiali speciali')",251,45.46647,9.1811,10
"('Arredo', 'Living')",971,45.469334,9.19972,3
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Conferenze, workshop', 'Grafica', 'Installazioni', 'Materiali speciali', 'Product Design', 'Tecnologia')",1309,45.484109,9.244187,11
"('Architettura', 'Arte', 'Installazioni')",1339,45.47208,9.173245,10
"('Tecnologia',)",1547,45.45157,9.16206,17
"('Arredo', 'Installazioni', 'Living', 'Product Design')",105,45.490994,9.18791,15
"('Architettura', 'Arredo', 'Arte')",541,45.46571,9.17133,47
"('Cucina', 'Food & beverage', 'Installazioni', 'Product Design')",852,45.48185,9.242586,5
"('Arredo', 'Moda', 'Installazioni', 'Product Design')",1044,45.5041898,9.1641302,1
"('Architettura', 'Arredo', 'Esterni', 'Moda', 'Food & beverage', 'Giochi, giocattoli', 'Grafica', 'Installazioni', 'Product Design', 'Tecnologia')",93,45.5041898,9.1641302,23
"('Arredo', 'Esterni', 'Product Design')",907,45.4768673,9.206343,6
"('Arredo', 'Arte', 'Grafica', 'Product Design')",935,45.4781325,9.2127824,7
"('Altro', 'Conferenze, workshop', 'Installazioni')",1034,45.4502961,9.1522507,13
"('Arte', 'Food & beverage', 'Installazioni', 'Party')",1122,45.4451534,9.1503078,13
"('Illuminazione', 'Installazioni', 'Party', 'Product Design')",905,45.4668428,9.1989684,37
"('Arte',)",1172,45.4688078,9.2016738,12
"('Installazioni', 'Materiali speciali')",677,45.4609234,9.1941229,9
"('Architettura', 'Arredo', 'Living')",1422,45.4609234,9.1941229,10
"('Altro', 'Installazioni', 'Tecnologia')",1473,45.4609234,9.1941229,3
"('Architettura', 'Conferenze, workshop', 'Party', 'Product Design')",1539,45.472325,9.1965441,1
"('Moda', 'Product Design')",1614,45.4521318,9.2142727,31
"('Arredo', 'Illuminazione', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",568,45.453655,9.1683854,12
"('Arredo', 'Product Design')",1208,45.453655,9.1683854,9
"('Arte', 'Moda', 'Grafica', 'Product Design')",1611,45.4646799,9.1907397,4
"('Architettura', 'Arredo', 'Illuminazione', 'Installazioni', 'Living')",247,45.4693805,9.1949662,13
"('Architettura', 'Arredo', 'Cucina', 'Grafica', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design')",246,45.4810742,9.1711028,27
"('Bagno', 'Party', 'Product Design')",44,45.4707128,9.1829555,35
"('Arredo', 'Bagno', 'Product Design')",693,45.4707128,9.1829555,56
"('Cucina', 'Food & beverage', 'Product Design')",83,45.4520215,9.1833804,10
"('Arredo', 'Cucina')",1082,45.4513899,9.1722321,14
"('Bagno',)",883,45.466914,9.1995682,8
"('Bagno',)",1162,45.466914,9.1995682,2
"('Arredo', 'Installazioni', 'Living')",572,45.466203,9.2004087,1
"('Architettura', 'Arredo', 'Arte', 'Gioielli', 'Illuminazione', 'Installazioni', 'Product Design')",996,45.4762407,9.2051715,8
"('Architettura', 'Arredo', 'Arte', 'Food & beverage', 'Gioielli', 'Grafica', 'Illuminazione', 'Installazioni', 'Materiali speciali', 'Product Design', 'Tecnologia')",1118,45.4762407,9.2051715,4
"('Arredo', 'Arte', 'Bagno', 'Installazioni', 'Party', 'Product Design', 'Tecnologia')",52,45.4638346,9.1984041,26
"('Architettura', 'Arredo', 'Arte', 'Moda', 'Grafica', 'Living', 'Product Design')",933,45.4724167,9.2107718,3
"('Arredo', 'Moda', 'Living', 'Product Design')",549,45.4753874,9.185339,40
"('Altro', 'Arredo', 'Living')",771,45.4753874,9.185339,39
"('Architettura', 'Arredo', 'Arte', 'Bagno', 'Cucina', 'Moda', 'Living', 'Product Design')",649,45.4758746,9.1873828,9
"('Arredo',)",879,45.4758746,9.1873828,5
"('Architettura', 'Arredo', 'Bagno', 'Cucina', 'Esterni', 'Living', 'Product Design')",774,45.4758746,9.1873828,20
"('Architettura', 'Arredo', 'Bagno', 'Conferenze, workshop', 'Cucina', 'Esterni', 'Installazioni', 'Living', 'Materiali speciali', 'Party', 'Product Design', 'Tecnologia')",913,45.4758746,9.1873828,4
"('Party', 'Product Design', 'Tecnologia')",1369,45.4587901,9.1768686,6
"('Installazioni', 'Tecnologia')",634,45.4717346,9.1850194,31
"('Arte', 'Illuminazione', 'Living', 'Tecnologia')",758,45.4717346,9.1850194,65
"('Materiali speciali', 'Product Design')",1404,45.478488,9.1885166,20
"('Altro', 'Architettura', 'Arredo', 'Arte', 'Bagno', 'Esterni', 'Living', 'Product Design')",812,45.478488,9.1885166,34
"('Arredo', 'Illuminazione', 'Living', 'Product Design')",36,45.4789911,9.1790435,49
"('Giochi, giocattoli', 'Product Design')",1041,45.483798,9.174087,2
"('Food & beverage', 'Product Design', 'Tecnologia')",866,45.4788808,9.242973,15
