id_event,latitude,longitude,cluster
1257,45.4668215,9.1983054,1
1262,45.48405,9.24288,7
1567,45.46188400000001,9.1816063,10
1264,45.46188400000001,9.1816063,10
1266,45.48332,9.24245,7
1268,45.46977639999999,9.1955313,1
1270,45.4507024,9.1579861,17
1272,45.4565863,9.1839363,12
1313,45.4826035,9.2425858,7
1278,45.4659588,9.1986881,1
1279,45.4766971,9.1895921,3
1280,45.4644965,9.1963556,1
1282,45.47926,9.18943,3
1284,45.4740772,9.1951255,1
1288,45.4692467,9.208085699999998,16
1286,45.4539353,9.1689725,0
1370,45.4539353,9.1689725,0
1123,45.48176289999999,9.2412851,7
1293,45.4696744,9.1921978,19
1297,45.46510470000001,9.198635,1
1298,45.4535417,9.1814202,11
1308,45.468126,9.1953602,1
1314,45.453911100000006,9.1582582,0
1317,45.4881646,9.1872829,8
1516,45.4863694,9.1869085,21
1323,45.45333820000001,9.167567,0
1312,45.46919860000001,9.198422,1
1324,45.45329,9.16126,0
1337,45.4639772,9.1939764,1
1520,45.4571652,9.1807779,20
1532,45.4571652,9.1807779,20
1552,45.4571652,9.1807779,20
1519,45.4571652,9.1807779,20
1511,45.4571652,9.1807779,20
1533,45.4571652,9.1807779,20
1363,45.4711869,9.1957025,1
1366,45.4682844,9.1989759,1
1402,45.458626,9.181873,20
1406,45.4614745,9.1905653,1
1420,45.4690843,9.1979178,1
1421,45.4648513,9.1979052,1
1424,45.4637418,9.1984708,1
1429,45.4507024,9.1579861,17
1599,45.4507024,9.1579861,17
1452,45.4712698,9.1952523,1
1479,45.471174,9.2065975,16
1557,45.471174,9.2065975,16
1478,45.4654219,9.1859243,22
1482,45.4671449,9.1979536,1
1483,45.4613031,9.1835653,10
1485,45.4728094,9.1895784,3
1487,45.4688547,9.1999536,1
1493,45.4752736,9.1852913,3
1534,45.4826458,9.2422616,7
1500,45.4817882,9.1836438,5
1501,45.4587597,9.1918498,1
1506,45.4869903,9.1845687,21
1507,45.4851147,9.246165800000002,7
1518,45.45282460000001,9.174553,15
