id_event,latitude,longitude
900,45.474478999999995,9.186925
1525,45.482529,9.244722
1139,45.482529,9.244722
1195,45.482529,9.244722
1559,45.482529,9.244722
1560,45.482529,9.244722
73,45.482529,9.244722
1551,45.482529,9.244722
1073,45.482529,9.244722
1531,45.482529,9.244722
906,45.482529,9.244722
1637,45.482529,9.244722
1646,45.482529,9.244722
1019,45.471946,9.187845
592,45.465645,9.20262
1348,45.450964,9.211446
1568,45.450964,9.211446
1277,45.487337,9.188244000000001
1630,45.487337,9.188244000000001
95,45.4514093,9.1620015
69,45.4514093,9.1620015
554,45.4514093,9.1620015
1283,45.4514093,9.1620015
1160,45.471165,9.184103
249,45.476782,9.214889999999999
1076,45.443333,9.185669
855,45.453694,9.162932000000001
897,45.473158000000005,9.209432000000001
638,45.473158000000005,9.209432000000001
846,45.473158000000005,9.209432000000001
74,45.483171,9.242659
1175,45.475417,9.207889999999999
43,45.472395,9.185138
767,45.472395,9.185138
813,45.472395,9.185138
1619,45.463174,9.211163
1147,45.494597999999996,9.182942
1153,45.483804,9.243899
1514,45.483164,9.242476
630,45.462987,9.182752
1199,45.462987,9.182752
1219,45.475865,9.20332
948,45.475865,9.20332
1509,45.467622,9.21405
648,45.479663,9.184383
1062,45.479663,9.184383
1183,45.479663,9.184383
1093,45.472362,9.187842
54,45.472362,9.187842
783,45.472362,9.187842
1039,45.475232,9.185867
681,45.484065,9.188460000000001
1307,45.466128000000005,9.189982
75,45.490225,9.169327000000001
1449,45.451209000000006,9.160853999999999
843,45.451209000000006,9.160853999999999
1535,45.451209000000006,9.160853999999999
1340,45.451209000000006,9.160853999999999
1250,45.451209000000006,9.160853999999999
573,45.451209000000006,9.160853999999999
864,45.451209000000006,9.160853999999999
880,45.451209000000006,9.160853999999999
863,45.451209000000006,9.160853999999999
1315,45.4826862,9.248967
1119,45.452496999999994,9.181028999999999
601,45.472815000000004,9.195072
564,45.465952,9.200494
1554,45.457715,9.184372
550,45.465745,9.178904
552,45.465745,9.178904
1155,45.465745,9.178904
107,45.465745,9.178904
1408,45.465745,9.178904
650,45.465745,9.178904
954,45.463876,9.197610000000001
1394,45.469334,9.19972
1439,45.448722,9.1610106
1136,45.467094,9.181602
1543,45.470245,9.196743
251,45.46647,9.1811
971,45.469334,9.19972
1309,45.484109000000004,9.244187
1339,45.47208,9.173245
1547,45.451570000000004,9.16206
105,45.490994,9.18791
541,45.465709999999994,9.171330000000001
852,45.48185,9.242586
1044,45.5041898,9.164130199999999
93,45.5041898,9.164130199999999
907,45.476867299999995,9.206342999999999
935,45.4781325,9.2127824
1034,45.4502961,9.1522507
1122,45.445153399999995,9.1503078
905,45.466842799999995,9.1989684
1172,45.4688078,9.201673800000002
677,45.4609234,9.1941229
1422,45.4609234,9.1941229
1473,45.4609234,9.1941229
1539,45.472325,9.196544099999999
1614,45.4521318,9.2142727
1538,45.453655,9.1683854
568,45.453655,9.1683854
1208,45.453655,9.1683854
1611,45.4646799,9.1907397
247,45.4693805,9.1949662
246,45.4810742,9.1711028
44,45.470712799999994,9.182955499999998
693,45.470712799999994,9.182955499999998
83,45.4520215,9.1833804
1082,45.451389899999995,9.1722321
883,45.466914,9.199568199999998
1162,45.466914,9.199568199999998
572,45.466203,9.2004087
996,45.4762407,9.2051715
1118,45.4762407,9.2051715
52,45.4638346,9.1984041
933,45.472416700000004,9.210771800000002
549,45.4753874,9.185339
771,45.4753874,9.185339
649,45.475874600000004,9.187382800000002
879,45.475874600000004,9.187382800000002
774,45.475874600000004,9.187382800000002
913,45.475874600000004,9.187382800000002
1369,45.4587901,9.1768686
634,45.471734600000005,9.1850194
758,45.471734600000005,9.1850194
1404,45.478488,9.1885166
812,45.478488,9.1885166
36,45.4789911,9.1790435
1041,45.483798,9.174087
866,45.4788808,9.242973
873,45.4788808,9.242973
968,45.4840408,9.243488300000001
1014,45.4840408,9.243488300000001
632,45.4840408,9.243488300000001
1303,45.4841916,9.2448054
1143,45.4841916,9.2448054
1013,45.4841916,9.2448054
1156,45.4841916,9.2448054
